Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Cell Line]	Term Source 2 REF	Term Source 2 Accession	hORFeome V5.1 Identifier	hORFeome V5.1 Clone Description	Reagent Design Gene Annotation Build	Gene Identifier	Gene Symbol	Analysis Gene Annotation Build	Control Type	Control Comments	Channels	Comments
11001	11	A11	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	8790	Homo sapiens hypothetical protein RP4-622L5		56063	C1orf91				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	12	A12	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	8627	Homo sapiens hypothetical protein FLJ10006		55677	IWS1				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	13	B1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	403	Homo sapiens hypothetical protein MGC4677		112597	NCRNA00152				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	14	B2	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	415	Homo sapiens hypothetical protein MGC4677		541471	LOC541471				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	15	B3	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	106	Homo sapiens		404266	LOC404266				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	16	B4	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	2817	Homo sapiens							DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	17	B5	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	579	"Homo sapiens polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa"		5440	POLR2K				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	18	B6	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	144	"Homo sapiens NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa"		4707	NDUFB1				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	19	B7	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9945	Homo sapiens tigger transposable element derived 5		84948	TIGD5				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	20	B8	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	8805	Homo sapiens echinoderm microtubule associated protein like 4		27436	EML4				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	21	B9	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	2842	Homo sapiens MGC17624 protein		404550	C16orf74				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	22	B10	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9571	Homo sapiens extracellular signal-regulated kinase 8		225689	MAPK15				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	23	B11	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	8577	Homo sapiens megalencephalic leukoencephalopathy with subcortical cysts 1		23209	MLC1				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	24	B12	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	676	"Homo sapiens fibronectin type III domain containing 3B, mRNA (cDNA clone IMAGE:3882800), complete cds."		64778	FNDC3B				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	25	C1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	465	"Homo sapiens dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit, transcript variant 2"		8818	DPM2				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	26	C2	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	10104	Homo sapiens SET translocation (myeloid leukemia-associated		6418	SET				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	27	C3	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9886	Homo sapiens split hand/foot malformation (ectrodactyly) type 1		7979	SHFM1				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	28	C4	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	8594	Homo sapiens ubiquitin-conjugating enzyme E2Q (putative		55585	UBE2Q1				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	29	C5	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	8828	"Homo sapiens OTU domain, ubiquitin aldehyde binding 2"		78990	OTUB2				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	30	C6	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	2824	"Homo sapiens PCI domain containing 2, mRNA (cDNA clone MGC:16774 IMAGE:4215274), complete cds."		55795	PCID2				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	31	C7	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	219	Homo sapiens HSPC038 protein		51123	ZNF706				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	32	C8	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	2859	Homo sapiens hypothetical protein MGC9913		386759	MGC9913				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	33	C9	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	3089	"Homo sapiens high mobility group nucleosomal binding domain 3, transcript variant 2"		9324	HMGN3				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	34	C10	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	531	"Homo sapiens delta sleep inducing peptide, immunoreactor"		1831	TSC22D3				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	35	C11	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	10216	Homo sapiens similar to metallo-beta-lactamase superfamily protein		153364	MBLAC2				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	36	C12	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9673	Homo sapiens UDP-glucose ceramide glucosyltransferase-like 2		55757	UGGT2				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	37	D1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	8776	Homo sapiens EphA7		2045	EPHA7				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	38	D2	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	241	"Homo sapiens LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae"		11157	LSM6				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	39	D3	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	8622	Homo sapiens dual specificity phosphatase 22		56940	DUSP22				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	40	D4	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	3109	"Homo sapiens G antigen, family D, 2"		9503	XAGE1D				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	41	D5	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	738	Homo sapiens ribosomal protein S21		6227	RPS21				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	42	D6	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	908	Homo sapiens neighbor of BRCA1 gene 2		10230	ARL17A				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	43	D7	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	2962	Homo sapiens chromosome 14 open reading frame 79		122616	C14orf79				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	44	D8	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	2765	Homo sapiens hypothetical protein MGC5566		79015	LOC79015				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	45	D9	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	3088	Homo sapiens apolipoprotein C-I		341	APOC1				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	46	D10	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	2760	Homo sapiens hypothetical protein MGC5590		79024	MGC5590				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	47	D11	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9336	"Homo sapiens phosphatidylinositol-4-phosphate 5-kinase, type II, beta, transcript variant 2"		8396	PIP4K2B				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	48	D12	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	541	Homo sapiens PTD015 protein		28971	C11orf67				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	49	E1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	3115	Homo sapiens dynein light chain 2		140735	DYNLL2				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	50	E2	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	2788	Homo sapiens S100 calcium binding protein A6 (calcyclin		6277	S100A6				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	51	E3	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	8811	Homo sapiens mitogen-activated protein kinase kinase kinase 3		4215	MAP3K3				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	52	E4	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	3085	Homo sapiens ALL1-fused gene from chromosome 1q		10962	MLLT11				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	53	E5	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	762	Homo sapiens ubiquinol-cytochrome c reductase hinge protein		7388	UQCRH				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	54	E6	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	2813	Homo sapiens chemokine (C-C motif) ligand 5		6352	CCL5				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	55	E7	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9819	"Homo sapiens FXYD domain containing ion transport regulator 1 (phospholemman), transcript variant b"		5348	FXYD1				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	56	E8	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	196	Homo sapiens chromosome 7 open reading frame 32		155066	ATP6V0E2				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	57	E9	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	341	Homo sapiens chromosome 18 open reading frame 18		147525	C18orf18				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	58	E10	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	2693	Homo sapiens S100 calcium binding protein P		6286	S100P				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	59	E11	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	10116	Homo sapiens hypothetical protein DKFZp547B1713		128061	C1orf131				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	60	E12	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	377	"Homo sapiens MAX protein, transcript variant 4"		4149	MAX				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	61	F1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	10187	Homo sapiens hypothetical protein DKFZp547D2210		196500	C12orf53				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	62	F2																annotation not available
11001	63	F3	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9335	Homo sapiens cytochrome c oxidase subunit VIa polypeptide 2		1339	COX6A2				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	64	F4	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	654	"Homo sapiens NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa"		4709	NDUFB3				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	65	F5																annotation not available
11001	66	F6	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9392	Homo sapiens hypothetical protein MGC35023		149836	LOC643406				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	67	F7	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	785	Homo sapiens HSPC023 protein		28974	C19orf53				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	68	F8	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	134	Homo sapiens chemokine (C-C motif) ligand 2		6347	CCL2				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	69	F9	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	8619	"Homo sapiens RAB, member of RAS oncogene family-like 2B"		11158	RABL2B				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	70	F10	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9797	Homo sapiens hypothetical protein MGC45416		132299	OCIAD2				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	71	F11	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	10166	Homo sapiens flavin containing monooxygenase 5		2330	FMO5				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	72	F12	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	135	"Homo sapiens biogenesis of lysosome-related organelles complex-1, subunit 2"		282991	BLOC1S2				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	73	G1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	629	"Homo sapiens acylphosphatase 2, muscle type"		98	ACYP2				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	74	G2	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9451	Homo sapiens epidermodysplasia verruciformis 2			TMC8				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	75	G3	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9297	Homo sapiens syntaxin 11		8676	STX11				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	76	G4	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	657	Homo sapiens S100 calcium binding protein A3		6274	S100A3				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	77	G5	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9237	Homo sapiens hypothetical protein MGC35118		145942	TMCO5A				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	78	G6	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	407	Homo sapiens S100 calcium binding protein A16		140576	S100A16				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	79	G7	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	2746	"Homo sapiens signal peptidase complex subunit 1 homolog (S. cerevisiae), mRNA (cDNA clone MGC:4899 IMAGE:3462307), complete cds."		28972	SPCS1				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	80	G8	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	183	Homo sapiens chromosome 9 open reading frame 80		58493	C9orf80				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	81	G9	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	10178	Homo sapiens chromosome 20 open reading frame 10		27296	TP53TG5				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	82	G10	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	8815	Homo sapiens leucine rich repeat (in FLII) interacting protein 1		9208	LRRFIP1				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	83	G11	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	463	Homo sapiens EphA4		2043	EPHA4				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	84	G12																annotation not available
11001	85	H1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	3075	"Homo sapiens ATPase inhibitory factor 1, transcript variant 1"		93974	ATPIF1				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	86	H2	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	8600	Homo sapiens tumor differentially expressed 2-like		347735	SERINC2				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	87	H3	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	714	"Homo sapiens mitochondrial ribosomal protein S33, transcript variant 2"		51650	MRPS33				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	88	H4	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	10188	Homo sapiens hypothetical protein FLJ36004		160492	IFLTD1				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	89	H5	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9356	"Homo sapiens transient receptor potential cation channel, subfamily V, member 6"		55503	TRPV6				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	90	H6	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	540	"Homo sapiens chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha"		2919	CXCL1				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	91	H7	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	354	Homo sapiens hypothetical protein BC008131		142937	LOC142937				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	92	H8	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	598	Homo sapiens tubulin-specific chaperone a		6902	TBCA				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	93	H9	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	1800	Homo sapiens brain protein 44-like		51660	BRP44L				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	94	H10	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	8620	Homo sapiens hypothetical protein from EUROIMAGE 1977056		56965	PARP6				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	95	H11	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	3099	Homo sapiens chromosome 10 open reading frame 104		119504	ANAPC16				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	96	H12																annotation not available
11002	1	A1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	542	Homo sapiens ribosomal protein L35a		6165	RPL35A				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	2	A2	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9240	Homo sapiens cofilin pseudogene 1		142913	CFLP1				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	3	A3	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	390	Homo sapiens hypothetical protein MGC15416		84331	FAM195A				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	4	A4	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	10179	Homo sapiens intestinal cell (MAK-like) kinase		22858	ICK				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	5	A5	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	8586	"Homo sapiens cysteine conjugate-beta lyase; cytoplasmic (glutamine transaminase K, kyneurenine aminotransferase"		883	CCBL1				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	6	A6	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	261	Homo sapiens urocortin 2		90226	UCN2				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	7	A7	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	477	"Homo sapiens sorting nexin 3, transcript variant 3"		8724	SNX3				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	8	A8	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9570	Homo sapiens hypothetical protein MGC40107		254863	C17orf61				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	9	A9	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	8816	"Homo sapiens crystallin, zeta (quinone reductase)-like 1"		9946	CRYZL1				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	10	A10	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	796	Homo sapiens hypothetical protein FLJ20508		54955	C1orf109				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	11	A11	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	330	Homo sapiens TYRO protein tyrosine kinase binding protein		7305	TYROBP				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	12	A12	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	2805	"Homo sapiens ring finger protein 7, transcript variant 1"		9616	RNF7				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	13	B1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	38	"Homo sapiens ribosomal protein, large, P1"		6176	RPLP1				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	14	B2	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	8602	Homo sapiens tripartite motif-containing 31		11074	TRIM31				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	15	B3																annotation not available
11002	16	B4	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9233	Homo sapiens cocaine- and amphetamine-regulated transcript		9607	CARTPT				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	17	B5	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	923	Homo sapiens t-complex-associated-testis-expressed 1-like		6990	DYNLT3				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	18	B6	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9944	Homo sapiens palmitoyl-protein thioesterase 2		9374	EGFL8				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	19	B7	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9235	Homo sapiens G antigen 5		2577	GAGE12I				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	20	B8	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9688	Homo sapiens KIAA0542 gene product		9814	SFI1				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	21	B9																annotation not available
11002	22	B10	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9938	Homo sapiens glycine N-methyltransferase		27232	GNMT				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	23	B11	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9514	Homo sapiens galanin		51083	GAL				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	24	B12	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9768	Homo sapiens hypothetical protein MGC45562		125113	KRT222				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	25	C1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9958	"Homo sapiens orthodenticle homolog 2 (Drosophila), transcript variant 1"		5015	OTX2				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11002	26	C2																annotation not available
