Plate,Well,Well Number,siRNA Primer %% url=http://www.flyrnai.org/cgi-bin/RNAi_gene_lookup_public.pl?gname=%s,Gene Identifier %%  url=http://www.ensembl.org/id/%s,Gene Symbol,CAN Repeats,Off Target Effects,Control Type,Control Comments,Quality Control,siRNA Hit,Phenotype 1,Term Source Accession 1,Ontology Term Name 1,Phenotype 2,Term Source Accession 2,Ontology Term Name 2,Phenotype 3,Term Source Accession 3,Ontology Term Name 3,Phenotype 4,Term Source Accession 4,Ontology Term Name 4,Phenotype 5,Term Source Accession 5,Ontology Term Name 5,Phenotype 6,Term Source Accession 6,Ontology Term Name 6,Phenotype 7,Term Source Accession 7,Ontology Term Name 7,Phenotype 8,Term Source Accession 8,Ontology Term Name 8,Phenotype 9,Term Source Accession 9,Ontology Term Name 9,Phenotype 10,Term Source Accession 10,Ontology Term Name 10,Phenotype 11,Term Source Accession 11,Ontology Term Name 11,Phenotype 12,Term Source Accession 12,Ontology Term Name 12,Phenotype 13,Term Source Accession 13,Ontology Term Name 13,Phenotype 14,Term Source Accession 14,Ontology Term Name 14,Phenotype 15,Term Source Accession 15,Ontology Term Name 15,Phenotype 16,Term Source Accession 16,Ontology Term Name 16,Phenotype 17,Term Source Accession 17,Ontology Term Name 17,Phenotype 18,Term Source Accession 18,Ontology Term Name 18,Phenotype 19,Term Source Accession 19,Ontology Term Name 19,Phenotype 20,Term Source Accession 20,Ontology Term Name 20,Phenotype 21,Term Source Accession 21,Ontology Term Name 21,Phenotype 22,Term Source Accession 22,Ontology Term Name 22,Phenotype 23,Term Source Accession 23,Ontology Term Name 23,Phenotype 24,Term Source Accession 24,Ontology Term Name 24,Phenotype 25,Term Source Accession 25,Ontology Term Name 25,Phenotype 26,Term Source Accession 26,Ontology Term Name 26
001B30_S2R,A11,11,DRSC00669,FBgn0031220,CG4822,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A12,12,DRSC00797,FBgn0010288,Uch,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A13,13,DRSC00753,FBgn0001142,Gs1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A14,14,DRSC00299,FBgn0031398,CG10880,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A15,15,DRSC00310,FBgn0031224,CG11454,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A16,16,DRSC00692,FBgn0031399,mio,0,0,,,,yes,,,,,,,cell shape variable,CMPO_0000270,increased variability of cell shape in population,,,,,,,,,,,,,,,,Asymmetric lamellae,CMPO_0000266,asymmetric lamellipodia phenotype,,,,,,,,,,decreased peripheral actin,CMPO_0000273,decreased cortical actin cytoskeleton mass,,,,,,,,,,microtubules disorganised,CMPO_0000147,disorganized microtubules phenotype,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A17,17,DRSC00629,FBgn0031227,CG3709,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A18,18,DRSC00693,FBgn0031401,CG7082,0,0,,,,yes,,,,,,,cell shape variable,CMPO_0000270,increased variability of cell shape in population,,,,,,,,,,,,,,,,,,,decreased level of actin,CMPO_0000106,decreased number of actin filament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,decreased cell number,CMPO_0000052,decreased cell numbers,loss of cell monolayer,CMPO_0000293,loss of cell monolayer,,,
001B30_S2R,A19,19,DRSC00311,FBgn0031228,CG11455,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A20,20,DRSC00694,FBgn0010704,l(2)s5379,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A21,21,DRSC00605,FBgn0031229,CG3436,0,0,,,,yes,decreased cell size,CMPO_0000129,decreased cell size phenoptype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microtubule clumps,CMPO_0000286,aggregated microtubules phenotype,,,,,,,,,,increased level of microtubules,CMPO_0000097,increased number of microtubules,,,,,,,,,,,,,,,,,,
001B30_S2R,A22,22,DRSC00300,FBgn0031408,CG10882,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A23,23,DRSC00839,FBgn0016977,spen,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A24,24,DRSC00742,FBgn0031413,CG9967,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B1,25,,,,0,0,no siRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B2,26,,,,0,0,no siRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B3,27,DRSC00451,FBgn0031610,CG15436,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B4,28,DRSC02147,FBgn0031848,CG11329,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B5,29,DRSC00515,FBgn0031611,CG17840,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B6,30,DRSC02144,FBgn0031850,Tsp,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B7,31,DRSC00822,FBgn0011603,ine,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B8,32,DRSC03329,FBgn0025595,GRHR,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B9,33,DRSC00469,FBgn0031621,CG15634,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B10,34,DRSC03547,FBgn0025777,homer,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B11,35,DRSC00590,FBgn0031628,CG3294,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B12,36,DRSC02132,FBgn0046704,Liprin-alpha,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B13,37,DRSC00578,FBgn0031631,CG3225,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B14,38,DRSC03382,FBgn0015776,nrv1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B15,39,DRSC00557,FBgn0031633,CG2976,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B16,40,DRSC03383,FBgn0015777,nrv2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B17,41,DRSC00551,FBgn0031637,CG2950,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B18,42,DRSC02615,FBgn0031859,CG17377,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B19,43,DRSC00337,FBgn0031638,CG11927,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B20,44,DRSC02135,FBgn0031860,CG11236,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B21,45,DRSC00562,FBgn0031645,CG3036,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B22,46,DRSC03407,FBgn0017551,Rca1,0,0,,,,yes,,,,increased cell size,CMPO_0000128,increased cell size phenotype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,increased number of multinucleate cells,CMPO_0000300,more multinucleate cells,,,,,,,,,,,,,,,
001B30_S2R,B23,47,DRSC00265,FBgn0041150,hoe1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,B24,48,DRSC02108,FBgn0086451,l(2)k09022,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C1,49,DRSC00312,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C2,50,DRSC00695,FBgn0031414,eys,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C3,51,DRSC00313,FBgn0031233,CG11490,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C4,52,DRSC00777,FBgn0014010,Rab5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C5,53,DRSC00823,FBgn0086902,kis,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C6,54,DRSC00726,FBgn0031420,CG9866,1,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C7,55,DRSC00320,FBgn0022246,Rpp30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C8,56,DRSC00727,FBgn0031421,CG9867,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C9,57,DRSC00483,FBgn0031239,CG17075,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C10,58,DRSC00614,FBgn0031423,CG3557,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C11,59,DRSC00596,FBgn0031240,CG3345,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C12,60,DRSC00732,FBgn0031428,CG9886,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C13,61,DRSC00319,FBgn0086912,mbm,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C14,62,DRSC00731,FBgn0031435,CG9883,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C15,63,DRSC00837,FBgn0003444,smo,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C16,64,DRSC00574,FBgn0026479,Drp1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C17,65,DRSC00621,FBgn0031245,CG3625,0,0,,,,yes,,,,,,,cell shape variable,CMPO_0000270,increased variability of cell shape in population,,,,,,,,,,,,,,,,,,,decreased level of actin,CMPO_0000106,decreased number of actin filament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,decreased cell number,CMPO_0000052,decreased cell numbers,loss of cell monolayer,CMPO_0000293,loss of cell monolayer,,,
001B30_S2R,C18,66,DRSC00503,FBgn0031443,Prosbeta4R2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C19,67,DRSC00796,FBgn0017457,U2af38,0,1,,,,yes,,,,,,,cell shape variable,CMPO_0000270,increased variability of cell shape in population,,,,,,,disorganised peripheral actin,CMPO_0000274,disorganised cortical actin cytoskeleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microtubules disorganised,CMPO_0000147,disorganized microtubules phenotype,,,,,,,,,,increased number of multinucleate cells,CMPO_0000300,more multinucleate cells,,,,,,,,,,,,,,,
001B30_S2R,C20,68,DRSC00549,FBgn0031450,Hrs,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C21,69,DRSC00756,FBgn0024352,Hop,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C22,70,DRSC00736,FBgn0031454,CG9960,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C23,71,DRSC00771,FBgn0020622,Pi3K21B,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,C24,72,DRSC00546,FBgn0031456,Trn-SR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D1,73,DRSC03113,FBgn0031651,mRpL24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D2,74,DRSC02109,FBgn0031865,Nha1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D3,75,DRSC03116,FBgn0031652,jet,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D4,76,DRSC02278,FBgn0042092,CG13773,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D5,77,DRSC03464,FBgn0015834,Trip1,0,0,,,,yes,,,,,,,cell shape variable,CMPO_0000270,increased variability of cell shape in population,,,,,,,,,,,,,,,,,,,decreased level of actin,CMPO_0000106,decreased number of actin filament,,,,,,,,,,,,,,,,microtubule clumps,CMPO_0000286,aggregated microtubules phenotype,,,,,,,,,,,,,,,,,,,,,,decreased cell number,CMPO_0000052,decreased cell numbers,loss of cell monolayer,CMPO_0000293,loss of cell monolayer,,,
001B30_S2R,D6,78,DRSC02044,FBgn0031868,Rat1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D7,79,DRSC02719,FBgn0031657,CG3756,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D8,80,DRSC03638,FBgn0028554,xl6,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D9,81,DRSC03118,FBgn0010607,l(2)05714,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D10,82,DRSC03347,FBgn0004838,Hrb27C,0,2,,,,yes,,,,,,,,,,,,,cell shape processes or spiky or stretchy,CMPO_0000267,star shaped cell,,,,,,,Increased number of actin puncta or dots,CMPO_0000291,increased amount of punctate actin foci,,,,,,,,,,,,,decreased peripheral actin,CMPO_0000273,decreased cortical actin cytoskeleton mass,,,,,,,,,,,,,microtubule processes,CMPO_0000351,increased microtubule-based processes phenotype,,,,,,,,,,,,,,,,,,,loss of cell monolayer,CMPO_0000293,loss of cell monolayer,,,
001B30_S2R,D11,83,DRSC03119,FBgn0031661,Gmd,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D12,84,DRSC02016,FBgn0031871,CG10158,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D13,85,DRSC03121,FBgn0031664,CG8892,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D14,86,DRSC03157,FBgn0031872,iHog,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D15,87,DRSC03122,FBgn0053113,Rtnl1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D16,88,DRSC03156,FBgn0031873,Gas41,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D17,89,DRSC02684,FBgn0053113,Rtnl1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D18,90,DRSC03424,FBgn0020616,SA,0,1,,,,yes,,,,,,,cell shape variable,CMPO_0000270,increased variability of cell shape in population,,,,,,,,,,,,,,,,,,,decreased level of actin,CMPO_0000106,decreased number of actin filament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,decreased cell number,CMPO_0000052,decreased cell numbers,loss of cell monolayer,CMPO_0000293,loss of cell monolayer,,,
001B30_S2R,D19,91,DRSC02732,FBgn0031670,CG3887,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D20,92,DRSC02713,FBgn0031875,CG3430,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D21,93,DRSC03291,FBgn0000299,Cg25C,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D22,94,DRSC01996,FBgn0021944,Coprox,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,D23,95,DRSC03140,FBgn0031673,CG31650,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
