Plate	Well Number	Well	Plate_Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Gene Symbol Synonyms	Gene Description	GO Biological Process	GO Molecular Function	GO Cellular Component	GO Term	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Batch	Control Type	Control Comments	Quality Control	Channels	Comments
P101	11	A11	P101_A11	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL056W	GPB2	KRH1	"Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; homolog of Gpb1p"	"signaling process, transcription, response to chemical stimulus, sporulation resulting in formation of a cellular spore, pseudohyphal growth, RNA metabolic process"	"enzyme regulator activity, signal transducer activity, protein binding"	"mitochondrion, membrane, cytoplasm, plasma membrane"	"RNA metabolic process, cytoplasm, enzyme regulator activity, mitochondrion, other, plasma membrane, protein binding, pseudohyphal growth, response to chemical stimulus, signal transducer activity, signal transduction, sporulation, transcription"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	images not available
P101	12	A12	P101_A12	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL055W	PEX22	YAF5	"Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation"	"transport, signaling process, peroxisome organization"	protein binding	"peroxisome, membrane, cytoplasm"	"cytoplasm, membrane, organelle organization and biogenesis, peroxisome, protein binding, signal transduction, transport"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	images not available
P101	13	B1	P101_B1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL053W	FLC2	HUF2	Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance	"transport, protein folding"	transporter activity	"endoplasmic reticulum, cytoplasm"	"cell wall organization and biogenesis, cytoplasm, endoplasmic reticulum, protein folding, transport, transporter activity"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	14	B2	P101_B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL051W	OAF1	YAF1	"Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis"	"cellular lipid metabolic process, transcription, peroxisome organization"	"transcription regulator activity, DNA binding"	nucleus	"DNA binding, lipid metabolic process, nucleus, organelle organization and biogenesis, response to chemical stimulus, transcription, transcription regulator activity"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	15	B3	P101_B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL049C	AIM2		Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor	biological_process	molecular_function	cytoplasm	"biological_process, cytoplasm, molecular_function"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	16	B4	P101_B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL048C	GEM1	GON1	"Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; not required for pheromone-induced cell death"	"transport, vesicle-mediated transport, mitochondrion organization"	hydrolase activity	"membrane, mitochondrial envelope, mitochondrion, cytoplasm"	"cytoplasm, hydrolase activity, membrane, mitochondrial envelope, mitochondrion, organelle organization and biogenesis, vesicle-mediated transport"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	images not available
P101	17	B5	P101_B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL046C	AIM1		Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	18	B6	P101_B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL045C			"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A"	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	19	B7	P101_B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL044C	GCV3		"H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF"	"cellular amino acid and derivative metabolic process, protein modification process"	oxidoreductase activity	"mitochondrion, cytoplasm"	"amino acid and derivative metabolic process, cytoplasm, mitochondrion, other, oxidoreductase activity"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	20	B8	P101_B8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL042W	ERV46	FUN9	"Protein localized to COPII-coated vesicles, forms a complex with Erv41p; involved in the membrane fusion stage of transport"	"transport, vesicle-mediated transport"	molecular_function	"membrane, cytoplasmic membrane-bounded vesicle, endomembrane system, endoplasmic reticulum, cytoplasm, Golgi apparatus"	"Golgi apparatus, cytoplasm, cytoplasmic membrane-bounded vesicle, endomembrane system, endoplasmic reticulum, membrane, molecular_function, transport, vesicle-mediated transport"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	21	B9	P101_B9	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL042C-A		YAL043C-A	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene"	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	22	B10	P101_B10	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL040C	CLN3	WHI1;FUN10;DAF1	"G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis"	"vacuole organization, transcription, cell cycle, cellular membrane organization, RNA metabolic process"	enzyme regulator activity	nucleus	"cell cycle, enzyme regulator activity, membrane organization and biogenesis, nucleus, organelle organization and biogenesis, other"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	23	B11	P101_B11	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL037W			Putative protein of unknown function	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	images not available
P101	24	B12	P101_B12	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL036C	RBG1	FUN11	"Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid"	biological_process	other	cytoplasm	"cytoplasm, other, ribosome biogenesis"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	images not available
P101	25	C1	P101_C1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL035W	FUN12	eIF5B;yIF2	"GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; homolog of bacterial IF2"	translation	"RNA binding, hydrolase activity"	"ribosome, mitochondrion, cytoplasm"	"cytoplasm, hydrolase activity, mitochondrion, ribosome, translation, translation regulator activity"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	26	C2	P101_C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL034C	FUN19		Non-essential protein of unknown function; expression induced in response to heat stress	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	27	C3	P101_C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL031C	GIP4	FUN21	Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate	chromosome segregation	"protein binding, enzyme regulator activity"	cytoplasm	"cytoplasm, enzyme regulator activity, other, protein binding"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	28	C4	P101_C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL030W	SNC1		Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins	"transport, vesicle organization, vesicle-mediated transport, cellular membrane organization"	protein binding	"cellular bud, cytoplasmic membrane-bounded vesicle, membrane, site of polarized growth, Golgi apparatus, cytoplasm, plasma membrane"	"Golgi apparatus, cytoplasm, cytoplasmic membrane-bounded vesicle, membrane, membrane organization and biogenesis, organelle organization and biogenesis, protein binding, transport, vesicle-mediated transport"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	29	C5	P101_C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL029C	MYO4	SHE1;FUN22	"One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p"	DNA metabolic process	"motor activity, hydrolase activity, protein binding"	"cytoskeleton, mitochondrion, cellular bud, site of polarized growth, cytoplasm"	"DNA metabolic process, cellular bud, cytoskeleton, mitochondrion, motor activity, organelle organization and biogenesis, other, protein binding"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	30	C6	P101_C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL028W	FRT2	HPH2	"Tail-anchored endoplasmic reticulum membrane protein, interacts with homolog Frt1p but is not a substrate of calcineurin (unlike Frt1p), promotes growth in conditions of high Na+, alkaline pH, or cell wall stress; potential Cdc28p substrate"	response to stress	molecular_function	"endoplasmic reticulum, cytoplasm"	"endoplasmic reticulum, molecular_function, response to stress"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	31	C7	P101_C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL026C	DRS2	SWA3;FUN38	Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease	"transport, vesicle-mediated transport, ribosome biogenesis, cellular membrane organization"	"transporter activity, hydrolase activity"	"cytoplasm, Golgi apparatus"	"Golgi apparatus, cytoplasm, hydrolase activity, membrane organization and biogenesis, organelle organization and biogenesis, ribosome biogenesis, transport, transporter activity, vesicle-mediated transport"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	32	C8	P101_C8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL023C	PMT2	FUN25	"Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; acts in a complex with Pmt1p, can instead interact with Pmt5p in some conditions; target for new antifungals"	"cellular carbohydrate metabolic process, protein modification process"	transferase activity	"endoplasmic reticulum, cytoplasm"	"endoplasmic reticulum, protein modification process, transferase activity"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	33	C9	P101_C9	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL022C	FUN26		Nucleoside transporter with broad nucleoside selectivity; localized to intracellular membranes	transport	transporter activity	membrane	"membrane, other, transport, transporter activity"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	images not available
P101	34	C10	P101_C10	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL021C	CCR4	NUT21;FUN27	"Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening"	"signaling process, transcription, cell cycle, DNA metabolic process, RNA metabolic process"	hydrolase activity	"nucleus, cytoplasm"	"DNA metabolic process, RNA metabolic process, cell cycle, cytoplasm, hydrolase activity, nucleus, response to chemical stimulus, transcription"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	images not available
P101	35	C11	P101_C11	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL020C	ATS1	KTI13;FUN28	"Protein required, with Elongator complex, Kti11p, and Kti12p, for modification of wobble nucleosides in tRNA; has a potential role in regulatory interactions between microtubules and the cell cycle"	"cell budding, cytoskeleton organization, RNA metabolic process"	molecular_function	cytoplasm	"RNA metabolic process, cell budding, cytoplasm, cytoskeleton organization and biogenesis, molecular_function, organelle organization and biogenesis"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	images not available
P101	36	C12	P101_C12	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL019W	FUN30		"Protein whose overexpression affects chromosome stability, potential Cdc28p substrate; homolog of Snf2p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	"chromosome organization, transcription, RNA metabolic process"	molecular_function	"nucleus, chromosome, mitochondrion, cytoplasm"	"mitochondrion, molecular_function, nucleus, organelle organization and biogenesis"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	images not available
P101	37	D1	P101_D1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL018C			Putative protein of unknown function	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	38	D2	P101_D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL017W	PSK1	FUN31	One of two (see also PSK2) PAS domain containing S/T protein kinases; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status	"cellular carbohydrate metabolic process, generation of precursor metabolites and energy, protein modification process"	"transferase activity, protein kinase activity"	cytoplasm	"carbohydrate metabolic process, cell wall organization and biogenesis, cytoplasm, protein kinase activity, protein modification process, transferase activity"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	39	D3	P101_D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL015C	NTG1	SCR1;FUN33	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress	"mitochondrion organization, response to chemical stimulus, response to stress, DNA metabolic process"	"hydrolase activity, lyase activity"	"nucleus, mitochondrion, cytoplasm"	"DNA metabolic process, hydrolase activity, lyase activity, mitochondrion, nucleus, response to stress"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	40	D4	P101_D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL014C	SYN8	SLT2;UIP2	Endosomal SNARE related to mammalian syntaxin 8	transport	protein binding	cytoplasm	"cytoplasm, protein binding, transport"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	41	D5	P101_D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL013W	DEP1	FUN54	"Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation"	"transcription, protein modification process, cellular lipid metabolic process, chromosome organization, DNA metabolic process, RNA metabolic process"	"transcription regulator activity, hydrolase activity"	"nucleus, chromosome"	"RNA metabolic process, hydrolase activity, lipid metabolic process, nucleus, organelle organization and biogenesis, protein modification process, transcription, transcription regulator activity"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	42	D6	P101_D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL011W	SWC3	SWC1	"Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae"	chromosome organization	molecular_function	"nucleus, chromosome, mitochondrion, cytoplasm"	"mitochondrion, molecular_function, nucleus, organelle organization and biogenesis, response to chemical stimulus"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	43	D7	P101_D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL010C	MDM10	FUN37	"Subunit of both the ERMES complex that links the ER to mitochondria, and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in import and assembly of outer membrane beta-barrel proteins"	"transport, mitochondrion organization, protein complex biogenesis, cellular membrane organization"	molecular_function	"endomembrane system, mitochondrion, membrane, mitochondrial envelope, endoplasmic reticulum, cytoplasm"	"cytoplasm, membrane, membrane organization and biogenesis, mitochondrial envelope, mitochondrion, molecular_function, organelle organization and biogenesis, other, transport"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	44	D8	P101_D8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL009W	SPO7		"Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme, regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation"	"meiosis, sporulation resulting in formation of a cellular spore, cellular lipid metabolic process, cell cycle, nucleus organization, cellular membrane organization"	"hydrolase activity, phosphoprotein phosphatase activity"	"endomembrane system, membrane"	"endomembrane system, meiosis, membrane, nuclear organization and biogenesis, phosphoprotein phosphatase activity, sporulation"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	45	D9	P101_D9	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL008W	FUN14		Mitochondrial protein of unknown function	biological_process	molecular_function	"membrane, mitochondrial envelope, mitochondrion, cytoplasm"	"biological_process, cytoplasm, membrane, mitochondrial envelope, mitochondrion, molecular_function"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	46	D10	P101_D10	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL007C	ERP2		"Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles"	"transport, vesicle-mediated transport"	molecular_function	"cytoplasmic membrane-bounded vesicle, cytoplasm"	"Golgi apparatus, cytoplasm, cytoplasmic membrane-bounded vesicle, molecular_function, transport, vesicle-mediated transport"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	images not available
P101	47	D11	P101_D11	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL004W			"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C"	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	images not available
P101	48	D12	P101_D12	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL005C	SSA1	YG100	"ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperone complex with Ydj1p; localized to the nucleus, cytoplasm, and cell wall"	"transport, mitochondrion organization, translation, response to stress, protein folding"	"hydrolase activity, protein binding"	"nucleus, membrane fraction, vacuole, cell wall, membrane, cytoplasm"	"cell wall, cytoplasm, hydrolase activity, membrane, nucleus, organelle organization and biogenesis, protein binding, protein folding, response to stress, translation, transport, vacuole"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	images not available
P101	49	E1	P101_E1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL002W	VPS8	VPL8;VPT8;FUN15	Membrane-associated protein that interacts with Vps21p to facilitate soluble vacuolar protein localization; component of the CORVET complex; required for localization and trafficking of the CPY sorting receptor; contains RING finger motif	"transport, vesicle-mediated transport"	molecular_function	"membrane fraction, cytoplasm"	"cytoplasm, membrane fraction, molecular_function, transport, vesicle-mediated transport"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	50	E2	P101_E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAR002W	NUP60		"Subunit of the nuclear pore complex (NPC), functions to anchor Nup2p to the NPC in a process controlled by the nucleoplasmic concentration of Gsp1p-GTP; potential Cdc28p substrate; involved in telomere maintenance"	"transport, protein complex biogenesis"	structural molecule activity	"nucleus, membrane, endomembrane system"	"endomembrane system, membrane, nucleus, structural molecule activity, transport"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	images not available
P101	51	E3	P101_E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAR003W	SWD1	SAF49;CPS50;FUN16	"Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7"	"chromosome organization, transcription, DNA metabolic process, protein modification process, RNA metabolic process"	transferase activity	nucleus	"RNA metabolic process, nucleus, organelle organization and biogenesis, protein modification process, transcription, transferase activity"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	52	E4	P101_E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAR014C	BUD14		"Protein involved in bud-site selection, Bud14p-Glc7p complex is a cortical regulator of dynein; inhibitor of the actin assembly factor Bnr1p (formin); diploid mutants display a random budding pattern instead of the wild-type bipolar pattern"	"cytoskeleton organization, transcription, protein complex biogenesis, RNA metabolic process"	enzyme regulator activity	"cellular bud, site of polarized growth"	"RNA metabolic process, anatomical structure morphogenesis, cellular bud, cytoskeleton organization and biogenesis, enzyme regulator activity, other, site of polarized growth, transcription"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	53	E5	P101_E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAR015W	ADE1		"N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine"	heterocycle metabolic process	ligase activity	"nucleus, cytoplasm"	"cytoplasm, ligase activity, nucleus, other, response to chemical stimulus"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	54	E6	P101_E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAR018C	KIN3	NPK1;FUN52	Nonessential protein kinase with unknown cellular role	chromosome segregation	"transferase activity, protein kinase activity"	cellular_component	"cellular_component, other, protein kinase activity"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	55	E7	P101_E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAR020C	PAU7		"Member of the seripauperin multigene family, active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme"	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	56	E8	P101_E8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAR023C			"Putative integral membrane protein, member of DUP240 gene family"	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
